Dealership Name,Dealership Number,ESHOP Price Match,New SRP CTA,New SRP CTA Top,New VDP CTA,New  VDP CTA Top,No E-Shop Found,CTA,CPOV CTA,CPOV CTA Top,COLP,Used SRP CTA,Used SRP CTA Top,Website Provider,Trade-In Provider,Tag,Competitive Dr Tool,Dealer Group,Syndication Provider,Base URL,Primary Email,Billing Code
Alfa Romeo And FIAT of Puente Hills,69218,Yes,FALSE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,,,,,,https://www.alfaromeousaofpuentehills.com,test@test.com,95129
Alfa Romeo FIAT of Santa Monica,69420,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,FALSE,TRUE,FALSE,Dealer Inspire,Black Book,EDPA Issue,,,,https://www.alfaromeousaofsantamonica.com/,test@test.com,90404
Alfa Romeo And FIAT of Scottsdale,69107,No,FALSE,FALSE,FALSE,FALSE,"Oct 2, 2025",,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer.com,,EDPA Issue,,,,https://www.fiatusaofscottsdale.com,test@test.com,94589
Anchorage Chrysler Center Inc,64793,No,FALSE,FALSE,FALSE,FALSE,"Oct 6, 2025",,FALSE,FALSE,TRUE,FALSE,FALSE,Team Velocity,Black Book,,Team Velocity,,vAuto,https://www.anchoragechryslercenter.com,test@test.com,91911
"Auburn Chrysler, Dodge, Jeep, Ram",60627,No,FALSE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer eProcess,Black Book,,TradePending,,,https://www.budclaryauburnchryslerdodgejeepram.com,test@test.com,96732
Enumclaw Chrysler Jeep Dodge Ram,60268,Yes,FALSE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer On,Black Book,National Dealer Council,,,vAuto,https://www.enumclawchryslerjeepdodge.net,test@test.com,92008
Glendale Dodge Chrysler Jeep,59578,Yes,FALSE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer On,Black Book,,,,,https://www.glendaledodgecalifornia.com,test@test.com,80121
Glendora Chrysler Dodge Jeep Ram,42698,No,FALSE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Pixel Motion,KBB,,,,,https://www.glendorachryslerjeepdodge.com,test@test.com,80923
"Hoblit Chrysler Jeep Dodge, Inc.",44816,Yes,FALSE,FALSE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,FALSE,FALSE,Dealer.com,Black Book,,Captial One,,vAuto,https://www.hoblitdodge.com,test@test.com,92284
J Star Chrysler Dodge Jeep Ram of Anaheim Hills,27011,Yes,FALSE,FALSE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Pixel Motion,Black Book,,,,vAuto,https://www.jstarcdjrofanaheimhills.com,test@test.com,95020
